time,cvt.convert_state_0,cvt.convert_state_1,cvt.convert_state_2,cvt.convert_state_3
2026-08-21T00:30:44.111833,1.5,-2.7,0.0,100.0
2026-08-21T00:30:44.119314,2.673,2.673,49.5,49.5
2026-08-21T00:30:44.127647,2.64627,2.64627,48.51,49.005
2026-08-21T00:30:44.135980,2.6198072999999997,2.6198072999999997,48.51,48.51495
2026-08-21T00:30:44.144313,2.5936092269999995,2.5936092269999995,47.519999999999996,48.0298005
2026-08-21T00:30:44.152646,2.5676731347299997,2.5676731347299997,47.519999999999996,47.549502495
2026-08-21T00:30:44.160979,2.5419964033827,2.5419964033827,46.53,47.07400747005
2026-08-21T00:30:44.169312,2.516576439348873,2.516576439348873,46.53,46.6032673953495
2026-08-21T00:30:44.177645,2.491410674955384,2.491410674955384,45.54,46.137234721396005
2026-08-21T00:30:44.185978,2.46649656820583,2.46649656820583,45.54,45.675862374182046
2026-08-21T00:30:44.194311,2.441831602523772,2.441831602523772,44.55,45.219103750440226
2026-08-21T00:30:44.202644,2.417413286498534,2.417413286498534,44.55,44.76691271293582
2026-08-21T00:30:44.210977,2.393239153633549,2.393239153633549,43.56,44.31924358580646
2026-08-21T00:30:44.219310,2.3693067620972132,2.3693067620972132,43.56,43.876051149948395
2026-08-21T00:30:44.227643,2.345613694476241,2.345613694476241,42.57,43.437290638448914
2026-08-21T00:30:44.235976,2.3221575575314786,2.3221575575314786,42.57,43.002917732064425
2026-08-21T00:30:44.244309,2.2989359819561637,2.2989359819561637,42.57,42.57288855474378
2026-08-21T00:30:44.252642,2.275946622136602,2.275946622136602,41.58,42.14715966919634
2026-08-21T00:30:44.260975,2.253187155915236,2.253187155915236,41.58,41.725688072504376
2026-08-21T00:30:44.269308,2.2306552843560836,2.2306552843560836,40.589999999999996,41.308431191779334
2026-08-21T00:30:44.277641,2.208348731512523,2.208348731512523,40.589999999999996,40.89534687986154
2026-08-21T00:30:44.285974,2.1862652441973975,2.1862652441973975,39.6,40.48639341106293
