time,shaper.shape_state.0,shaper.shape_state.1,shaper.shape_state.2,shaper.shape_state.3
2026-04-19T15:52:12.183433,1.0,2.0,3.0,4.0
2026-04-19T15:52:12.192468,1.5,4.51,6.02,3.03
2026-04-19T15:52:12.200801,2.25,9.04,4.5649999999999995,6.795
2026-04-19T15:52:12.209134,3.375,6.857499999999999,10.212499999999999,13.589999999999998
2026-04-19T15:52:12.217467,5.0625,15.328749999999998,20.404999999999998,10.316249999999998
2026-04-19T15:52:12.225800,7.59375,30.617499999999996,15.494374999999998,23.023124999999997
2026-04-19T15:52:12.234133,11.390625,23.2515625,34.5546875,45.95625
2026-04-19T15:52:12.242466,17.0859375,51.84203125,68.95437499999998,34.907343749999995
2026-04-19T15:52:12.250799,25.62890625,103.44156249999999,52.381015624999996,77.793046875
2026-04-19T15:52:12.259132,38.443359375,78.5815234375,116.70957031249999,155.19234375
2026-04-19T15:52:12.267465,57.6650390625,175.07435546874999,232.808515625,117.90228515625
2026-04-19T15:52:12.275798,86.49755859375,349.2227734375,176.873427734375,262.64153320312494
2026-04-19T15:52:12.284131,129.746337890625,265.3201416015625,393.9822998046874,523.8641601562499
2026-04-19T15:52:12.292464,194.6195068359375,590.983449707031,785.8162402343748,398.01021240234377
2026-04-19T15:52:12.300797,291.92926025390625,1178.7343603515621,597.0353186035156,886.5051745605465
2026-04-19T15:52:12.309130,437.8938903808594,895.5629779052734,1329.7777618408197,1768.1315405273433
2026-04-19T15:52:12.317463,656.8408355712891,1994.6766427612295,2652.217310791015,1343.3744668579102
2026-04-19T15:52:12.325796,985.2612533569336,3978.3359661865225,2015.0817002868653,2992.0449641418445
2026-04-19T15:52:12.334129,1477.8918800354004,3022.632550430298,4488.087446212767,5967.533949279784
2026-04-19T15:52:12.342462,2216.8378200531006,6732.14116931915,8951.320923919677,4533.978825645447
2026-04-19T15:52:12.350795,3325.256730079651,13426.991385879515,6800.9882384681705,10098.241753978726
2026-04-19T15:52:12.359128,4987.885095119476,10201.492357702256,15147.382630968088,20140.51707881927
2026-04-19T15:52:12.367461,7481.8276426792145,22721.08394645213,30210.795618228905,15302.268536553385
2026-04-19T15:52:12.375794,11222.741464018822,45316.20342734336,22953.42280483008,34081.6559196782
2026-04-19T15:52:12.384127,16834.112196028233,34430.144207245125,51122.503879517295,67974.33514101504
2026-04-19T15:52:12.392460,25251.16829404235,76683.76581927594,101961.52271152256,51645.24631086769
2026-04-19T15:52:12.400793,37876.75244106352,152942.29406728386,77467.88946630154,115025.67872891392
2026-04-19T15:52:12.409126,56815.128661595285,116201.8441994523,172538.53809337088,229413.4711009258
2026-04-19T15:52:12.417459,85222.69299239293,258807.81714005634,344120.2266513887,174302.79629917844
2026-04-19T15:52:12.425792,127834.03948858939,516180.34997708304,261454.21444876766,388211.7557100846
2026-04-19T15:52:12.434125,191751.0592328841,392181.33167315146,582317.6535651269,774270.5549656246
2026-04-19T15:52:12.442458,287626.58884932613,873476.4903476904,1161405.852448437,588272.0275097273
